item,category,evidence,conclusion,requiredAction,reviewStatus
Swob tracked product source,A_ORIGINAL,"Current product baseline plus v1.0.0/v1.1.0/v1.2.0 snapshots were compared with 20 pinned repositories; exact file, normalized 16-line, 80-token and AST matches are all zero, with zero manual candidates.","No copied-source blocker was identified in the audited corpus.","Retain the corpus lock and rerun on later source changes.",CLOSED
Production and non-npm permissive dependency set,C_PERMISSIVE,"214 production lock entries use permissive licenses; deterministic THIRD_PARTY_NOTICES covers 201 production packages plus the Minimal and Nord MIT sources, and package gates require project, dependency, Electron and Chromium notices.","Compatible in principle with Apache-2.0 under the recorded notice and package controls.","Run notices and package checks for every release candidate.",CLOSED_WITH_CONTROL
Development copyleft dependency set,D_FILE_LEVEL_COPYLEFT,"26 development entries require manual copyleft review, including MPL-2.0 lightningcss and LGPL/composite-license sharp-libvips platform packages; none is an application runtime entry.","Build-tool and platform package obligations do not extend to Swob source when the packages are not shipped as runtime payload.","Keep development trees out of app.asar and verify every unpacked, ZIP and DMG app.",CLOSED_WITH_CONTROL
caniuse-lite dataset,C_ATTRIBUTION,"One CC-BY-4.0 lock entry is development-only; the runtime allowlist does not package the development tree.","No attribution-requiring dataset was identified in the runtime payload.","Keep the package allowlist fail closed; add attribution if future output directly redistributes the dataset.",CLOSED_WITH_CONTROL
Strong-copyleft or source-available comparison repositories,E_STRONG_OR_SOURCE_AVAILABLE,"AGPL, GPL and Elastic-2.0 repositories are comparison-only at pinned commits; the current scan found no source match.","No code from these repositories is used by the audited product baseline.","Do not copy from them; use clean-room work if future remediation ever requires analogous behavior.",CLOSED
Unlicensed comparison repositories,E_NO_LICENSE,"Two comparison repositories lacked sufficient root license evidence at their pinned commits; the current scan found no source match.","They remain comparison-only and contribute no product code.","Do not reuse their code without permission.",CLOSED
Owner and AI-assisted rights chain,F_RIGHTS_CHAIN,"Owner-completed rights-chain declaration and IP assignment are retained in a private archive; committed evidence stores only hashes, page counts and signature-block completion.","The repository evidence plus private signed records close the pre-1.3.0 ownership gate without publishing personal data.","Retain the private originals under owner control.",CLOSED_PRIVATE_EVIDENCE
Tracked visual assets,F_ASSET_PROVENANCE,"All 64 tracked visual assets are covered by a reviewed hash-bound evidence manifest; unsupported third-party brand icons were removed from runtime and replaced with Swob-owned neutral glyphs.","No path-only or unknown-source asset remains cleared by assertion alone.","Run check:asset-evidence and icons:check on every change.",CLOSED_WITH_HASH_GATE
Historical v1.2.0 packaged worktree,F_HISTORICAL_PACKAGING_INCIDENT,"The public v1.2.0 macOS payload contained 58 unintended worktree files and incomplete outer notices; the current builder uses a runtime allowlist and the shared package verifier rejects private/development paths and missing notices.","The historical artifact remains defective, but the identified root cause is now enforced as a release gate.","Do not reuse v1.2.0 artifacts; verify every app copy in the 1.3.0 candidate.",CLOSED_BY_REMEDIATION
Current 1.3.0 signed macOS artifacts,F_FINAL_RELEASE_EVIDENCE,"Local unsigned dual-architecture packaging can prove contents and the exact-six asset contract, but cannot prove Developer ID signing, notarization or Gatekeeper acceptance.","PR and merge are allowed only after release-gates and credentialed signing-smoke pass on the exact final SHA; public release additionally requires both modes to pass on merged master.","Compare workflow headSha with the intended commit and stop on any mismatch or verifier failure.",OPEN_RELEASE_GATE
Windows alpha distribution,F_OUT_OF_SCOPE,"The current Windows workflow remains an unsigned internal x64 alpha and is not a formal 1.3.0 release artifact.","It cannot substitute for the macOS signing evidence and does not block this macOS release candidate.","Keep Windows alpha labeled non-formal until its own signing and release policy exists.",OUT_OF_SCOPE
